Bin#,Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
,Goodwill Bins SAT,Vintage Caroline Wells Dress Short Sleeve Wrap Tie,A0497,$0.99 ,$1.07 ,2/4/2020,20202,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$10.93 ,9/9/2021,20219,583
14,Goodwill Bins SAT,3/$20 Scarf white with black print design semi-sheer,A0501,$0.99 ,$1.07 ,2/7/2020,20202,,,,,,,,,928
14,Goodwill Bins S ATX,Call it Spring Crossbody Purse Tassel Vegan,A0505,$0.91 ,$0.99 ,2/10/2020,20202,Poshmark,$16.00 ,$3.20 ,$2.46 ,$10.34 ,$9.35 ,7/26/2021,20217,532
N/A,Goodwill Bins S ATX,Amanda Smith Crushed Velvet Floral Fleur Boot 7.5,A0506,$0.99 ,$1.07 ,2/6/2020,20202,,,,,,,,,929
N/A,Goodwill Bins S ATX,Sam Edelman Lucca Buckle Heeled Bootie 8.5,A0507,$0.99 ,$1.07 ,2/6/2020,20202,Poshmark,$28.00 ,$5.60 ,$0.00 ,$22.40 ,$21.33 ,10/8/2021,202110,610
N/A,Goodwill Bins S ATX,DVF Black Suede Pointed Toe Heel 6.5,A0508,$0.99 ,$1.07 ,2/4/2020,20202,,,,,,,,,931
1,Goodwill Bins S ATX,Lucky Brand Boho Hippie Gypsy Lace Tank S,A0521,$0.91 ,$0.99 ,2/13/2020,20202,,,,,,,,,922
,Goodwill Bins S ATX,J. Crew Linen Striped Pocket Tee M,A0528,$0.91 ,$0.99 ,2/17/2020,20202,Poshmark,$16.00 ,$3.20 ,$2.46 ,$10.34 ,$9.35 ,4/3/2021,20214,411
7,Goodwill Bins S ATX,BCBGMaxAzria Shelley Scarf Print Kaftan Poncho Top XS/S,A0531,$0.91 ,$0.99 ,2/17/2020,20202,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$11.01 ,9/8/2021,20219,569
14,Goodwill Bins S ATX,Vintage Leather High Waist Pencil Skirt 7/8,A0532,$0.91 ,$0.99 ,2/28/2020,20202,,,,,,,,,907
,Goodwill Bins S ATX,Ann Taylor Petite Peplum Snake Print Top 6P,A0538,$0.91 ,$0.99 ,2/18/2020,20202,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$11.01 ,2/15/2021,20212,363
1,Goodwill NW Loop 410,Athleta Red Cap Sleeve Scoop Neck Top XS,A0552,$4.79 ,$5.19 ,2/24/2020,20202,,,,,,,,,911
,Texas Thrift Store,Juicy Couture Quilted High Top Sneaker 6,A0555,$6.99 ,$7.56 ,2/10/2020,20202,Poshmark,$27.00 ,$5.40 ,$2.46 ,$19.14 ,$11.58 ,7/8/2021,20217,514
,Texas Thrift Store,Qupid Low Heel Bootie Suede Cut Out Zip Up,A0558,$4.89 ,$5.29 ,2/10/2020,20202,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$10.71 ,1/17/2021,20211,342
10-Sep,Texas Thrift Store,Kut from the Kloth Natalie High Rise Bootcut Jeans 10S,A0564,$3.49 ,$3.78 ,2/28/2020,20202,,,,,,,,,907
14,Goodwill NW Loop 410,$3/20 Coral Lace Infinity Scarf,A0566,$1.00 ,$1.08 ,2/12/2020,20202,,,,,,,,,923
14,Goodwill NW Loop 410,$3/20 Rainbow Fringe Multi Color Metallic Scarf,A0567,$1.00 ,$1.08 ,2/12/2020,20202,,,,,,,,,923
1,Goodwill NW Loop 410,Zara Basic Floral Top Open Back Crew Neck Short Sleeve M,A0569,$4.79 ,$5.19 ,2/13/2020,20202,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$6.81 ,9/8/2021,20219,573
1,Goodwill NW Loop 410,Zara Trafaluc Floral Sheer Top V Neck Short Sleeve Faux Wrap S,A0570,$4.79 ,$5.19 ,2/13/2020,20202,,,,,,,,,922
1,Goodwill NW Loop 410,Lulu's Say No More Black Peplum Top XS,A0579,$4.79 ,$5.19 ,2/21/2020,20202,Poshmark,$19.00 ,$3.80 ,$2.46 ,$12.74 ,$7.55 ,10/18/2021,202110,605
1,Goodwill NW Loop 410,Logo by Lori Goldstein Tunic Top Ruffle Pink M,A0581,$4.79 ,$5.19 ,2/19/2020,20202,Poshmark,$19.00 ,$3.80 ,$2.46 ,$12.74 ,$7.55 ,10/24/2021,202110,613
