Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
Closet,Banana Republic Navy & Red Striped Sweater,A0177,$0.00 ,$0.00 ,11/13/2019,201911,Poshmark,$25.00 ,$5.00 ,$0.00 ,$20.00 ,$20.00 ,1/7/2020,20201,55
Closet,a new day black & white striped sweater,A0178,$0.00 ,$0.00 ,11/13/2019,201911,Poshmark,$9.00 ,$2.95 ,$0.00 ,$6.05 ,$6.05 ,12/8/2019,201912,25
Closet,a new day White Cable Knit Pull Over Sweater,A0179,$0.00 ,$0.00 ,11/13/2019,201911,,,,,,,,,1014
Closet,ONLY tan knit high low sweater,A0180,$0.00 ,$0.00 ,11/13/2019,201911,Poshmark,$8.33 ,$1.67 ,$0.00 ,$6.67 ,$6.67 ,4/23/2020,20204,162
Texas Thrift Store,Apt 9 Bootcut Jeans Size 2,A0181,$0.99 ,$1.07 ,11/15/2019,201911,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($1.07),12/29/2020,202012,410
Texas Thrift Store,American Eagle Ankle Distressed Jeans,A0182,$0.99 ,$1.07 ,11/15/2019,201911,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$14.93 ,11/18/2019,201911,3
Texas Thrift Store,7 for all Mankind Dark Wash Bootcut Jeans,A0183,$0.99 ,$1.07 ,11/15/2019,201911,,,,,,,,,1012
Texas Thrift Store,Fossil Brand Jeans 'Vintage' Style,A0184,$0.99 ,$1.07 ,11/15/2019,201911,,,,,,,,,1012
Texas Thrift Store,American Eagle 77 Flare Jeans,A0185,$0.99 ,$1.07 ,11/15/2019,201911,Poshmark,$22.00 ,$4.40 ,$0.00 ,$17.60 ,$16.53 ,2/12/2020,20202,89
Closet,Floral Tank with Bow Back,A0186,$0.00 ,$0.00 ,2/1/2019,20192,Poshmark,$10.00 ,$2.95 ,$0.00 ,$7.05 ,$7.05 ,11/15/2019,201911,287
Closet,Poetry Aztec Top,A0187,$0.00 ,$0.00 ,9/14/2019,20199,,,,,,,,,1074
Garage Sale,Papaya Navy Scoop Neck Tee,A0188,$2.00 ,$2.00 ,9/14/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($2.00),10/25/2020,202010,407
Texas Thrift Store,âœ¨HPâœ¨NWOT: Urban Outfitters Mayfair surplice wrap,A0189,$1.00 ,$1.08 ,9/14/2019,20199,Poshmark,$11.00 ,$2.95 ,$0.00 ,$8.05 ,$6.97 ,11/19/2019,201911,66
Garage Sale,Lauren Conrad Peachy Pink Polka Dot Blouse,A0190,$2.00 ,$2.00 ,9/14/2019,20199,ThredUp,$4.99 ,$4.84 ,$0.00 ,$0.15 ,($1.85),10/10/2020,202010,392
Garage Sale,LC Lauren Conrad Floral Ruffle Tank,A0191,$2.00 ,$2.00 ,9/14/2019,20199,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,($2.00),10/25/2020,202010,407
Texas Thrift Store,Francesca's Miami Navy Floral Kimono,A0192,$2.00 ,$2.17 ,9/14/2019,20199,Poshmark,$15.00 ,$3.00 ,$2.12 ,$9.88 ,$7.72 ,5/14/2020,20205,243
Garage Sale,Andrea Jovine NWT Chambray sleevless high/low top,A0193,$2.00 ,$2.00 ,9/14/2019,20199,,,,,,,,,1074
Closet,Love Tree Quilted Red Vest with Faux Fur Trim Hood,A0194,$0.00 ,$0.00 ,2/1/2019,20192,Poshmark,$19.67 ,$3.93 ,$0.00 ,$15.73 ,$15.73 ,1/10/2020,20201,343
Closet,Express Black Jacket,A0195,$0.00 ,$0.00 ,2/1/2019,20192,Poshmark,$14.00 ,$2.95 ,$0.00 ,$11.05 ,$11.05 ,11/21/2019,201911,293
Closet,Pink Lily Staccato Pin Stripe Romper Wrap V-Neck L,A0196,$0.00 ,$0.00 ,1/28/2020,20201,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$16.00 ,3/24/2020,20203,56
Closet,Mossimo Ribbed Layering Tank Scoop Neck Gold L,A0197,$0.00 ,$0.00 ,2/4/2020,20202,Poshmark,$5.00 ,$1.47 ,$0.00 ,$3.53 ,$3.53 ,2/28/2020,20202,24
Closet,Mossimo Aztec Layering Tank Scoop Neck Maroon L,A0198,$0.00 ,$0.00 ,2/4/2020,20202,Poshmark,$10.00 ,$2.00 ,$0.00 ,$8.00 ,$8.00 ,7/4/2020,20207,151
Closet,Mossimo Ribbed Layering Tank Scoop Neck Grey L,A0199,$0.00 ,$0.00 ,2/4/2020,20202,Poshmark,$5.00 ,$1.48 ,$0.00 ,$3.53 ,$3.53 ,2/28/2020,20202,24
Closet,Colloseum Aztec Tribal Cardigan Sweater M,A0200,$0.00 ,$0.00 ,2/1/2020,20202,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,12/29/2020,202012,332
Closet,Pink Lily High Neck Halter Tie Floral Blouse L,A0201,$0.00 ,$0.00 ,2/3/2020,20202,Poshmark,$18.00 ,$3.60 ,$0.00 ,$14.40 ,$14.40 ,2/12/2020,20202,9
Closet,CATO Floral Abstract Print Lace Tank S,A0202,$0.00 ,$0.00 ,2/1/2020,20202,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,10/25/2020,202010,267
Closet,Olive & Oak Abstract Graphic Floral Tank Top M,A0203,$0.00 ,$0.00 ,1/28/2020,20201,Poshmark,$16.50 ,$3.30 ,$0.90 ,$12.30 ,$12.30 ,1/31/2020,20201,3
Closet,Atmosphere Striped Dolman Short Sleeve Top Size 8,A0204,$0.00 ,$0.00 ,1/28/2020,20201,Poshmark,$11.00 ,$2.20 ,$0.00 ,$8.80 ,$8.80 ,3/1/2020,20203,33
