Bin#,Source,SKU,Item,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
12-Nov,Goodwill Cibolo,B0348,BCBGMaxAzria NWT Black Sequin Swing Mini Dress 02,$12.99 ,$14.06 ,12/23/2020,202012,,,,,,,,,608
7,Goodwill Cibolo,B0350,Umgee Red Blouse Cold Shoulder Lace Plus Size1XL,$4.79 ,$5.19 ,12/23/2020,202012,Poshmark,$14.00 ,$2.95 ,$1.72 ,$9.33 ,$4.14 ,5/17/2022,20225,510
12-Nov,Goodwill Cibolo,B0352,Band of Gypsies Strapless Boho Dress S,$4.00 ,$4.33 ,12/23/2020,202012,,,,,,,,,608
6,Goodwill Cibolo,B0353,Umgee Open Back Geometric Print Blouse Semi Sheer L,$4.79 ,$5.19 ,12/23/2020,202012,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$6.81 ,5/23/2022,20225,516
2,Goodwill Cibolo,B0355,Umgee Chevron Rainbow Geometric Blouse Plus Size 1XL,$4.79 ,$5.19 ,12/23/2020,202012,,,,,,,,,608
6,Goodwill Cibolo,B0356,Fig and Flower Anthro Paisley Semi-Sheer Boho Blouse S,$4.79 ,$5.19 ,10/14/2021,202110,,,,,,,,,313
4,Goodwill Cibolo,B0357,entro boho Bell Sleeve Long Sleeve Strappy Blouse L,$4.79 ,$5.19 ,3/26/2021,20213,,,,,,,,,515
6,Goodwill Cibolo,B0358,Lucky Brand White Scoop Neck Henley Thermal Lace L,$4.79 ,$5.19 ,12/23/2020,202012,,,,,,,,,608
3,Goodwill Cibolo,B0359,Umgee Kimono Wrap Embroidered S/M,$4.79 ,$5.19 ,3/27/2021,20213,,,,,,,,,514
3,Goodwill Cibolo,B0361,Express Split Back Tank White Black S,$4.00 ,$4.33 ,3/27/2021,20213,,,,,,,,,514
12-Nov,Goodwill Cibolo,B0362,nanette lepore Orange Bingo Midi Dress Floral 4,$7.99 ,$8.65 ,12/23/2020,202012,,,,,,,,,608
N/A,Goodwill Cibolo,B0363,Coach Haven Stacked Heel Studded Ankle Bootie 7.5,$14.99 ,$16.23 ,10/17/2021,202110,Poshmark,$35.00 ,$7.00 ,$0.00 ,$28.00 ,$11.77 ,2/5/2022,20222,111
N/A,Goodwill Cibolo,B0364,Sam Edelman Gael Strappy Leather Sandal 6.5,$3.99 ,$4.32 ,10/17/2021,202110,,,,,,,,,310
N/A,Goodwill Cibolo,B0365,Torrid Maroon Suede Loafer Flat Shoe Size Unknown,$6.99 ,$7.57 ,10/17/2021,202110,,,,,,,,,310
N/A,Goodwill N Loop 1604,B0366,Lucky Brand Candy Cork Platform Wedges 6.5,$6.99 ,$7.57 ,10/17/2021,202110,,,,,,,,,310
N/A,Goodwill N Loop 1604,B0367,Lucky Brand Pickla Stacked Heel Suede Bootie 8.5,$9.99 ,$10.81 ,10/17/2021,202110,Poshmark,$28.00 ,$5.60 ,$0.00 ,$22.40 ,$11.59 ,3/29/2022,20223,163
6,Goodwill N Loop 1604,B0368,Sparrow Anthro Wool Cashmere Cardigan Duster M,$4.79 ,$5.19 ,12/23/2020,202012,Poshmark,$37.00 ,$7.40 ,$0.00 ,$29.60 ,$24.41 ,1/8/2022,20221,381
,Goodwill N Loop 1604,B0370,Madewell Tulip Sleeve Floral Velvet Ruffle Top XS,$4.79 ,$5.19 ,12/23/2020,202012,,,,,,,,,608
2,Goodwill N Loop 1604,B0372,Lucky Brand Sleeveless Boho Top Snap Front XL,$4.79 ,$5.19 ,12/23/2020,202012,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$10.81 ,4/6/2022,20224,469
12-Nov,Goodwill N Loop 1604,B0374,Vintage nanette lepore Little Black Bodycon Dress 4,$4.00 ,$4.33 ,12/23/2020,202012,,,,,,,,,608
12-Nov,Goodwill N Loop 1604,B0375,Vintage nanette lepore Black Fit & Flare Dress 4,$7.99 ,$8.65 ,12/23/2020,202012,,,,,,,,,608
3,Goodwill N Loop 1604,B0376,Altar'd State Boho Embroidered Blouse M,$7.99 ,$8.65 ,3/27/2021,20213,,,,,,,,,514
6,Goodwill N Loop 1604,B0377,Umgee Mint Green Semi Sheer Blouse M,$7.99 ,$8.65 ,12/23/2020,202012,,,,,,,,,608
12-Nov,Goodwill N Loop 1604,B0378,ZARA Trafaluc Floral Geometric Dress S,$7.99 ,$8.65 ,12/23/2020,202012,,,,,,,,,608
12-Nov,Goodwill N Loop 1604,B0379,NWT Altar'd State Black Dress Lace Back M,$7.99 ,$8.65 ,12/23/2020,202012,,,,,,,,,608
WEARING,Clothes Mentor Selma,B0380,Express Black Knit Dolman Sleeve Cardigan S,$14.00 ,$15.16 ,Wearing,,,,,,,,,,
,Clothes Mentor Selma,B0381,Market & Spruce Blue Black Horizontal Stripe Sweater 3/4 Sleeve M,$1.10 ,$1.19 ,Unlisted,,,,,,,,,,
,Clothes Mentor Selma,B0382,Maude Geometric Print & Cut Out Short Sleeve Top ,$8.00 ,$8.66 ,Donated,,Donated,,,,,,5/23/2022,20225,
Wearing,Clothes Mentor Selma,B0383,Maeve Floral Button Down Short Sleeve 0,$10.00 ,$10.83 ,Wearing,,,,,,,,,,
,Clothes Mentor Selma,B0384,Charming Charlie Eye Shadow Floral Sheer Kimono M,$7.00 ,$7.58 ,Donated,,Donated,,,,,,5/23/2022,20225,
Wearing,Clothes Mentor Selma,B0385,Joe's Jeans Curson Skinny Ankle Jeans Raw Hem Split Ankle 27,$18.00 ,$19.49 ,Wearing,,,,,,,,,,
,Clothes Mentor Selma,B0386,&Denim Low Waist Black Jeggings 29/32,$1.10 ,$1.19 ,,,,,,,,,,,
Wearing,Clothes Mentor Selma,B0387,Nike Grey Capri Joggers S,$11.00 ,$11.91 ,Wearing,,,,,,,,,,
,Clothes Mentor Selma,B0388,American Eagle Soft & Sexy Tank Grey Floral Embroidered XS,$0.70 ,$0.76 ,Donated,,Donated,,,,,,5/23/2022,20225,
,Clothes Mentor Selma,B0389,Heart & Hips Black and White Horizontal Striped Romper S,$1.60 ,$1.73 ,Donated,,Donated,,,,,,5/23/2022,20225,
Wearing,Clothes Mentor Selma,B0390,Gap Long Sleeve Floral Dress Elastic Waist S,$1.60 ,$1.73 ,Wearing,,,,,,,,,,
,Clothes Mentor Selma,B0391,miami Francesca's Green Leopard Print Split Back Tank S,$0.70 ,$0.76 ,Unlisted,,,,,,,,,,
,Clothes Mentor Selma,B0392,Cotton On Grey Spaghetti Strap Dress M,$1.00 ,$1.08 ,Donated,,Donated,,,,,,5/23/2022,20225,
Wearing,Clothes Mentor Selma,B0393,Almost Famous Knit Sweater Rainbow Heart S,$8.00 ,$8.66 ,Wearing,,,,,,,,,,
N/A,Clothes Mentor Selma,B0394,Crocs Eve Plum Purple Pointed Toe Rubber Ballet Flat 6,$1.50 ,$1.62 ,10/17/2021,202110,,,,,,,,,310
10-Sep,Clothes Mentor Selma,B0395,Madewell Skargorn Skinny Jeans Dark Wash 25,$2.00 ,$2.17 ,3/14/2021,20213,,,,,,,,,527
4,Clothes Mentor Selma,B0396,Vince Waffle Stitch Sleeveless Tunic S,$1.10 ,$1.19 ,2/22/2021,20212,,,,,,,,,547
3,Clothes Mentor Selma,B0397,Express Neon Yellow Stripe Tank XS,$0.70 ,$0.76 ,2/22/2021,20212,,,,,,,,,547
12-Nov,Clothes Mentor Selma,B0400,Umgee Green Long Sleeve Tiered Dress S,$1.50 ,$1.62 ,2/27/2021,20212,,,,,,,,,542
4,Clothes Mentor Selma,B0402,Anthro Little Yellow Button Winding Road Top M,$1.00 ,$1.08 ,2/25/2021,20212,,,,,,,,,544
4,Clothes Mentor Selma,B0403,Rock & Republic Distressed Black Semi Sheer T S,$1.00 ,$1.08 ,2/20/2021,20212,,,,,,,,,549
4,Clothes Mentor Selma,B0404,Lou & Grey LOFT Striped Faux Tie Front Top S,$10.00 ,$10.83 ,2/26/2021,20212,,,,,,,,,543
2,Clothes Mentor Selma,B0406,Lucky Brand Striped Button Down Tie Tank M,$1.30 ,$1.41 ,2/24/2021,20212,Poshmark,$13.33 ,$2.67 ,$0.00 ,$10.66 ,$9.25 ,7/29/2022,20227,520
4,Clothes Mentor Selma,B0408,We The Free People Rockabilly Raglan Thermal Top XS,$1.40 ,$1.52 ,2/20/2021,20212,,,,,,,,,549
4,Clothes Mentor Selma,B0409,NWT Annabella Francesca's Collections Peplum Tie Top S,$1.00 ,$1.08 ,2/20/2021,20212,,,,,,,,,549
5,Clothes Mentor Selma,B0410,miami Striped Rainbow Button Down Tie Top XS,$0.90 ,$0.97 ,2/20/2021,20212,,,,,,,,,549
4,Clothes Mentor Selma,B0412,BKE Gimmicks Fringe Beaded Tank S,$1.10 ,$1.19 ,2/25/2021,20212,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$10.81 ,6/12/2022,20226,472
12-Nov,Clothes Mentor Selma,B0413,Madewell Texture & Thread Tiered Sleeve Red Dress XXS,$1.90 ,$2.06 ,2/23/2021,20212,,,,,,,,,546
3,Clothes Mentor Selma,B0414,Sanctuary Boho Aztec Semi Sheer Long Sleeve Top XS,$1.00 ,$1.08 ,2/23/2021,20212,,,,,,,,,546
14,Clothes Mentor Selma,B0416,miami Romper Long Sleeve Embroidered S,$1.40 ,$1.52 ,2/26/2021,20212,,,,,,,,,543
12-Nov,Clothes Mentor Selma,B0417,Open Back Printed 3/4 Sleeve Shift Dress,$1.20 ,$1.30 ,2/27/2021,20212,,,,,,,,,542
4,Clothes Mentor Selma,B0418,J. Jill Geometric Long Sleeve Blouse M,$1.40 ,$1.52 ,2/27/2021,20212,,,,,,,,,542
2,Clothes Mentor Selma,B0419,Umgee Floral Tunic Top M,$1.10 ,$1.19 ,2/24/2021,20212,Poshmark,$18.00 ,$3.60 ,$0.00 ,$14.40 ,$13.21 ,4/18/2022,20224,418
12-Nov,Clothes Mentor Selma,B0422,Umgee NWT Color Block Lace Long Sleeve Dress L,$1.60 ,$1.73 ,2/24/2021,20212,,,,,,,,,545
3,Clothes Mentor Selma,B0424,Cabi 3057 Tank Tank Floral Cowl Neck S,$0.90 ,$0.97 ,2/21/2021,20212,Poshmark,$26.00 ,$5.20 ,$2.46 ,$18.34 ,$17.37 ,1/12/2022,20221,325
12-Nov,Clothes Mentor Selma,B0425,Skies are Blue Aztec Boho Embroidered Lace Dress SP,$1.60 ,$1.73 ,2/21/2021,20212,,,,,,,,,548
3,Clothes Mentor Selma,B0426,Anthropologie Cosette Top Floral Cut Out Yellow Lined S,$1.10 ,$1.19 ,2/21/2021,20212,Poshmark,$21.00 ,$4.20 ,$1.72 ,$15.08 ,$13.89 ,4/10/2022,20224,413
2,Clothes Mentor Selma,B0427,Entro Lace Boho Tank S,$1.00 ,$1.08 ,6/24/2022,20226,,,,,,,,,60
4,Clothes Mentor Selma,B0429,Red Camel Boho Paisley Print Top S,$0.50 ,$0.54 ,2/23/2021,20212,,,,,,,,,546
N/A,Printful,B0433,I'm Speaking VP Kamala Harris Ceramic Mug 15oz,$6.61 ,$6.61 ,3/15/2021,20213,,,,,,,,,526
3,Closet,B0434,Express Sequin Black Tee V Neck S,$0.00 ,$0.00 ,4/2/2021,20214,,,,,,,,,508
3,Closet,B0435,Sweet Rain Color Block Scoop Neck Tee M,$0.00 ,$0.00 ,4/2/2021,20214,,,,,,,,,508
4,Goodwill N Loop 1604,B0438,Areve Anthropologie Boho Hippie Dress M,$7.99 ,$8.65 ,7/12/2021,20217,,,,,,,,,407
7,Goodwill N Loop 1604,B0439,Threads 4 Thought Anthro Sleeveless Tunic Top Sheer Back XS,$4.79 ,$5.19 ,7/7/2021,20217,,,,,,,,,412
12-Nov,Goodwill N Loop 1604,B0440,Lush Maxi Lace Swim Cover Up Dress Short Sleeve M,$7.99 ,$8.65 ,4/4/2021,20214,,,,,,,,,506
3,Goodwill N Loop 1604,B0441,mine Semi-Sheer Racer Back Top S,$4.79 ,$5.19 ,4/5/2021,20214,,,,,,,,,505
12-Nov,Goodwill N Loop 1604,B0442,Emmelee Francesca's NWT Lace Sleeveless Dress S,$7.99 ,$8.65 ,7/7/2021,20217,,,,,,,,,412
WEARING,Goodwill N Loop 1604,B0444,Forever21 Cropped Sweatshirt Grey L,$4.79 ,$5.19 ,WEARING,,,,,,,,,,
4,Goodwill N Loop 1604,B0445,Nanette Lepore Blush Pink Champagne Lace Peplum Top M,$4.79 ,$5.19 ,3/30/2021,20213,,,,,,,,,511
5,Goodwill N Loop 1604,B0447,Athleta Racer Back Tank Neon Orange M,$4.79 ,$5.19 ,7/7/2021,20217,Poshmark,$14.00 ,$2.95 ,$0.00 ,$11.05 ,$5.86 ,3/6/2022,20223,242
WEARING,Goodwill N Loop 1604,B0448,AEO Ruffle Button Down Tank M,$4.79 ,$5.19 ,WEARING,,,,,,,,,,
WEARING,Goodwill N Loop 1604,B0449,GAP Fit Racer Back Tank Grey XS,$4.79 ,$5.19 ,WEARING,,,,,,,,,,
5,Goodwill Cibolo,B0452,Altar'd State Waffle Knit Long Sleeve Embroidered Blush Top V-Neck L,$2.40 ,$2.59 ,7/6/2021,20217,,,,,,,,,413
7,Goodwill Cibolo,B0453,Eyeshadow Waffle Knit Tie Front Button Down Top M,$2.40 ,$2.59 ,7/6/2021,20217,,,,,,,,,413
7,Goodwill Cibolo,B0454,Lavender Fields Bell Sleeve Boho Hippie Top L,$2.40 ,$2.59 ,7/6/2021,20217,,,,,,,,,413
10-Sep,Goodwill Cibolo,B0455,Free People A Modern Summer Shorts Button S,$4.79 ,$5.19 ,10/18/2021,202110,,,,,,,,,309
WEARING,Goodwill Cibolo,B0456,LOFT Striped Long Sleeve Cardigan S,$4.79 ,$5.19 ,Wearing,,,,,,,,,,
3,Goodwill Cibolo,B0458,Ember Missy Bell Sleeve Boho Top L,$4.79 ,$5.19 ,3/30/2021,20213,,,,,,,,,511
6,Goodwill Cibolo,B0459,Levi's Graphic Semi-Cropped Hoodie XL,$4.79 ,$5.19 ,7/6/2021,20217,,,,,,,,,413
2,Goodwill Cibolo,B0460,Umgee Embroidered Oversized Flowy Boho Blouse M,$4.79 ,$5.19 ,7/7/2021,20217,Poshmark,$24.00 ,$4.80 ,$0.00 ,$19.20 ,$14.01 ,6/10/2022,20226,338
5,Goodwill Cibolo,B0461,Maeve Anthro Maes Silk Kimono Floral Tie Top M,$4.79 ,$5.19 ,7/6/2021,20217,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$10.81 ,3/2/2022,20223,239
3,Goodwill Cibolo,B0463,Free People Kristobel Ruffle Lace Peplum Sweater Top M,$4.79 ,$5.19 ,3/30/2021,20213,,,,,,,,,511
7,Goodwill Cibolo,B0464,Deletta Anthro Knotted Tank XS,$4.79 ,$5.19 ,7/7/2021,20217,Poshmark,$18.33 ,$3.67 ,$0.00 ,$14.67 ,$9.48 ,5/4/2022,20225,301
5,Goodwill Cibolo,B0465,AEO Soft & Sexy Floral Long Sleeve Button Down High/Low L,$4.79 ,$5.19 ,7/7/2021,20217,,,,,,,,,412
3,Goodwill Cibolo,B0466,Annabelle Floral Boho Hippie Long Sleeve Ruffle Blouse M,$4.79 ,$5.19 ,4/5/2021,20214,,,,,,,,,505
2,Goodwill Cibolo,B0468,Umgee Kimono Wrap Boho Dolman Sleeve Lace Trim M/L,$4.79 ,$5.19 ,7/7/2021,20217,,,,,,,,,412
Hanging,Goodwill Cibolo,B0471,Alice + Olivia Foss Black & Berry Metallic Stripe Fit & Flare Dress 6 as seen on Zooey Deschanel and Meghan Trainor,$9.99 ,$10.81 ,7/6/2021,20217,,,,,,,,,413
6,Goodwill Cibolo,B0472,"Harley Davidson Tunic Top 3/4 Sleeve San Antonio, TX Large",$2.40 ,$2.60 ,7/11/2021,20217,,,,,,,,,408
4,Goodwill Cibolo,B0473,Altar'd State Boho Sheer Paisley Top Bell Sleeve XS,$2.40 ,$2.60 ,7/10/2021,20217,,,,,,,,,409
12-Nov,Goodwill Cibolo,B0474,Umgee NWT Embroidered Floral Lined Shift Dress Sleeveless M,$8.49 ,$9.19 ,7/15/2021,20217,Poshmark,$17.50 ,$3.50 ,$0.00 ,$14.00 ,$4.81 ,5/5/2022,20225,294
,Goodwill Cibolo,B0476,AEO Floral Jumpsuit Romper Boho S,$11.04 ,$11.95 ,Donated,,Donated,,,,,,5/23/2022,20225,
WEARING,Goodwill Cibolo,B0477,AEO NWT Floral Long Sleeve Mini Dress Boho S,$11.04 ,$11.95 ,WEARING,,,,,,,,,,
6,Goodwill Cibolo,B0478,Graphic T Shirt Texas Floral Animal Print S,$2.54 ,$2.75 ,10/12/2021,202110,,,,,,,,,315
6,Goodwill Cibolo,B0479,Graphic T Shirt Alice in Wonderland Tea Cup S,$2.54 ,$2.75 ,10/13/2021,202110,Poshmark,$10.00 ,$0.00 ,$0.00 ,$10.00 ,$7.25 ,3/26/2022,20223,164
6,Goodwill Cibolo,B0480,Graphic T Shirt But First Coffee Floral S,$2.54 ,$2.75 ,10/13/2021,202110,,,,,,,,,314
3,Goodwill Cibolo,B0481,Graphic T Shirt Boho Western Skull Floral S,$2.54 ,$2.75 ,10/13/2021,202110,,,,,,,,,314
5,Goodwill Cibolo,B0482,Acid Wash Tie Dye T Shirt M,$2.54 ,$2.75 ,10/13/2021,202110,,,,,,,,,314
3,Goodwill Cibolo,B0483,Acid Wash Tie Dye T Shirt S,$2.54 ,$2.75 ,10/15/2021,202110,,,,,,,,,312
3,Goodwill Cibolo,B0484,Acid Wash Tie Dye T Shirt S,$2.54 ,$2.75 ,,,,,,,,,,,
,Goodwill Cibolo,B0485,Graphic T Shirt Boho Skull Floral S,$2.54 ,$2.75 ,7/13/2021,20217,,,,,,,,,406
WEARING,Goodwill Cibolo,B0486,Graphic T Shirt Mandala Bear Hippie Boho Tie Dye XS,$2.54 ,$2.75 ,Wearing,,,,,,,,,,
5,Goodwill Cibolo,B0487,Graphic T Shirt Boho Western Floral Antlers S,$2.54 ,$2.75 ,7/13/2021,20217,,,,,,,,,406
5,Goodwill Cibolo,B0488,Graphic T Shirt Cowgirl Up Boot Western Floral S,$2.54 ,$2.75 ,7/13/2021,20217,,,,,,,,,406
12-Nov,Goodwill Cibolo,B0489,AEO NWOT Paisley Boho Tassle Shift Dress XXS,$6.79 ,$7.35 ,7/11/2021,20217,,,,,,,,,408
12-Nov,Goodwill Cibolo,B0490,Altar'd State Oversized Embroidered Dress Long Bell Sleeve M,$6.79 ,$7.35 ,7/11/2021,20217,,,,,,,,,408
2,Goodwill Cibolo,B0492,Lucky Brand Distressed Pullover Long Sleeve Top L,$4.07 ,$4.41 ,7/12/2021,20217,,,,,,,,,407
5,Goodwill Cibolo,B0493,Skies Are Blue Stitch Fix Embroidered Striped Top S,$4.07 ,$4.41 ,7/12/2021,20217,,,,,,,,,407
10-Sep,Goodwill Cibolo,B0494,Evolution and Creation Boho Elephant Mandola High Waist Crop Legging S,$4.07 ,$4.41 ,10/17/2021,202110,,,,,,,,,310
WEARING,Goodwill Cibolo,B0495,miami Francesca's High Low Knit Sweater M/L,$4.07 ,$4.41 ,WEARING,,,,,,,,,,
10-Sep,Goodwill Cibolo,B0497,ecote UO Boho Pleated High Rise Elastic Shorts M,$4.07 ,$4.41 ,10/17/2021,202110,,,,,,,,,310
10-Sep,Goodwill Cibolo,B0498,Joy Lab NWOT High Waist Ankle Legging Tropical S,$4.07 ,$4.41 ,10/17/2021,202110,,,,,,,,,310
10-Sep,Goodwill Cibolo,B0499,Nike Dri Fit High Waist Ankle Legging Tropical XS,$4.07 ,$4.41 ,10/17/2021,202110,,,,,,,,,310
3,Goodwill Cibolo,B0500,Philosophy Striped Plus Size Long Sleeve Sharkbite Hem Tunic Top XXL,$4.07 ,$4.41 ,7/15/2021,20217,,,,,,,,,404
10-Sep,Goodwill Cibolo,B0501,Earthbound Trading Co. Boho Hippie Jogger Pants S,$4.07 ,$4.41 ,10/18/2021,202110,,,,,,,,,309
,Goodwill Cibolo,B0502,Earthbound Trading Co. Boho Hippie Jogger Pants S,$4.07 ,$4.41 ,Donated,,Donated,,,,,,5/23/2022,20225,
,Goodwill Cibolo,B0503,Earthbound Trading Co. Boho Hippie Jogger Pants S,$4.07 ,$4.41 ,Donated,,Donated,,,,,,5/23/2022,20225,
WEARING,Thredup,B0506,Lululemon Athletica Stirrup Pant Legging 4,$26.92 ,$26.92 ,WEARING,,,,,,,,,,
,Thredup,B0507,Lululemon Athletica High Waist Black Leggings 4,$26.92 ,$26.91 ,Damaged,,Damaged,,,,,,5/23/2022,20225,
WEARING,Texas Thrift Store,B0509,AEO Black Jumpsuit Racerback S,$3.49 ,$3.78 ,WEARING,,,,,,,,,,
10-Sep,Texas Thrift Store,B0510,Ann Taylor LOFT Dark Wash Denim Shorts 4,$2.49 ,$2.70 ,10/18/2021,202110,,,,,,,,,309
WEARING,Texas Thrift Store,B0511,158 YFK High Waist Skinny Jean Black Acid Wash No Size,$3.99 ,$4.32 ,WEARING,,,,,,,,,,
,Texas Thrift Store,B0512,Indigo Rein Acid Wash Skinny Jeans S,$2.99 ,$3.24 ,Donated,,Donated,,,,,,5/23/2022,20225,
,Texas Thrift Store,B0513,Flying Monkey High Waist Skinny Jeans Cut-off Ankle 28,$4.99 ,$5.40 ,Donated,,Donated,,,,,,5/23/2022,20225,
10-Sep,Texas Thrift Store,B0514,Ann Taylor LOFT Curvy Straight Jeans 26/2 Petite Dark Wash,$4.99 ,$5.40 ,10/17/2021,202110,,,,,,,,,310
WEARING,Texas Thrift Store,B0515,Ann Taylor Petite the Boot Curvy Fit 2 Petite Dark Wash,$4.99 ,$5.40 ,WEARING,,,,,,,,,,
14,Texas Thrift Store,B0516,A'gaci Floral Long Sleeve Romper V-Neck M,$3.49 ,$3.78 ,10/18/2021,202110,Poshmark,$11.66 ,$2.34 ,$0.82 ,$8.50 ,$4.72 ,1/16/2022,20221,90
,Texas Thrift Store,B0517,Vanilla Star Leopard Animal Print Harem Pants XS,$2.49 ,$2.70 ,Donated,,Donated,,,,,,5/23/2022,20225,
13,Texas Thrift Store,B0518,LOFT Outlet Lined Midi Dress Abstract Print Work Dress S,$6.98 ,$7.56 ,10/17/2021,202110,,,,,,,,,310
8,Texas Thrift Store,B0519,Columbia 100% Cotton Button Down Roll-tab Sleeve XS,$2.99 ,$3.24 ,10/17/2021,202110,,,,,,,,,310
WEARING,Texas Thrift Store,B0520,Crochet Knit Lace Tank Top Swim Cover up Festival No Size,$2.49 ,$2.70 ,WEARING,,,,,,,,,,
WEARING,Texas Thrift Store,B0521,Torrid White Button up Long Sleeve 0 Plus Size,$5.98 ,$6.47 ,WEARING,,,,,,,,,,
14,Texas Thrift Store,B0522,E&M White Lace Floral Embroidered Romper Sleeveless S,$3.49 ,$3.78 ,10/18/2021,202110,,,,,,,,,309
10-Sep,Texas Thrift Store,B0524,Zara Basic Straight Leg Medium Wash Jeans Size 38,$3.49 ,$3.78 ,10/17/2021,202110,,,,,,,,,310
10-Sep,Texas Thrift Store,B0526,Levi's Legging Jeans Size 3M W26 L30,$3.99 ,$4.32 ,10/17/2021,202110,,,,,,,,,310
10-Sep,Texas Thrift Store,B0527,PrAna Bermuda Shorts Knee Length Legging XS,$2.49 ,$2.70 ,10/17/2021,202110,,,,,,,,,310
10-Sep,Texas Thrift Store,B0528,Adidas Climalite Capri M,$6.46 ,$6.99 ,10/17/2021,202110,,,,,,,,,310
4,Texas Thrift Store,B0529,Paper Crane Graphic Camping Tank L,$1.49 ,$1.61 ,10/13/2021,202110,,,,,,,,,314
11,Texas Thrift Store,B0530,Bobbie Brooks Striped Multi-color Midi Dress NWOT S,$3.49 ,$3.78 ,10/14/2021,202110,,,,,,,,,313
4,Texas Thrift Store,B0531,Cabi Pink Floating Poppies Tie Back Tank Top #5218 M,$2.49 ,$2.70 ,10/12/2021,202110,,,,,,,,,315
4,Texas Thrift Store,B0532,Madewell White Tank Top Tiered Faux Layer L,$1.99 ,$2.15 ,10/14/2021,202110,,,,,,,,,313
4,Texas Thrift Store,B0533,HD in Paris Anthro Floral Lace Flores Blouse 0,$4.99 ,$5.40 ,10/12/2021,202110,,,,,,,,,315
4,Texas Thrift Store,B0535,Fig and Flower Anthro Boho Floral Blouse M,$3.99 ,$4.32 ,10/14/2021,202110,,,,,,,,,313
4,Texas Thrift Store,B0536,J. Crew Polka Dot Sleeveless Blouse Linen/Cotton Blend 14,$1.99 ,$2.15 ,10/12/2021,202110,,,,,,,,,315
5,Texas Thrift Store,B0537,American Rag Semi Sheer Poncho Style Blouse Plus Size 3X,$2.99 ,$3.24 ,10/14/2021,202110,,,,,,,,,313
3,Texas Thrift Store,B0538,Perch by Blu Pepper Boho Cream Sheer Crochet Blouse Plus Size 1X,$3.99 ,$4.32 ,10/14/2021,202110,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$11.68 ,5/13/2022,20225,211
5,Texas Thrift Store,B0539,Patrons of Peach Boho Cropped Blouse M,$2.49 ,$2.70 ,10/15/2021,202110,Poshmark,$35.00 ,$7.00 ,$1.72 ,$26.28 ,$23.58 ,8/6/2022,20228,295
3,Texas Thrift Store,B0540,The Limited Floral Blouse Plus Size 2X,$2.99 ,$3.24 ,10/15/2021,202110,Poshmark,$27.00 ,$5.40 ,$2.46 ,$19.14 ,$15.90 ,2/18/2022,20222,126
3,Texas Thrift Store,B0542,Skies are Blue Paisley Color Block 3/4 Roll-tab Sleeve Blouse M,$2.99 ,$3.24 ,10/15/2021,202110,,,,,,,,,312
5,Texas Thrift Store,B0544,AEO Floral Boho Blouse XL,$2.49 ,$2.70 ,10/15/2021,202110,Poshmark,$25.00 ,$5.00 ,$0.00 ,$20.00 ,$17.30 ,2/18/2022,20222,126
8,Texas Thrift Store,B0545,41 Hawthorn Wrap Top Sleeveless Plus Size 1X,$2.99 ,$3.24 ,10/17/2021,202110,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$8.76 ,2/6/2022,20222,112
8,Texas Thrift Store,B0547,The Limited Racer Back Color Block Stripe Tank M,$1.99 ,$2.15 ,10/17/2021,202110,,,,,,,,,310
8,Texas Thrift Store,B0548,Madewell Striped Button Down Tank L,$2.99 ,$3.24 ,10/17/2021,202110,,,,,,,,,310
13,Texas Thrift Store,B0549,Peach Love Cream NWT Boho Maxi Sleeveless S,$4.99 ,$5.40 ,10/18/2021,202110,,,,,,,,,309
8,Texas Thrift Store,B0550,Violoet + Claire Floral Blouse Long Sleeve L,$2.49 ,$2.70 ,10/17/2021,202110,,,,,,,,,310
8,Texas Thrift Store,B0551,Under Skies Embroidered Boho Tank M,$2.49 ,$2.70 ,10/17/2021,202110,,,,,,,,,310
8,Texas Thrift Store,B0552,Bella Llama Graphic Racerback Tank L,$0.99 ,$1.07 ,10/17/2021,202110,,,,,,,,,310
8,Texas Thrift Store,B0553,AEO Boho Blouse Semi Sheer 3/4 Sleeve L,$2.49 ,$2.70 ,10/17/2021,202110,,,,,,,,,310
8,Texas Thrift Store,B0555,Miss Me Floral Embroidered Blush Tank S,$1.99 ,$2.15 ,10/17/2021,202110,,,,,,,,,310
8,Texas Thrift Store,B0556,California Moon Rise Distressed Destroyed Tiered Blouse Short Sleeve XL,$2.49 ,$2.70 ,10/17/2021,202110,Poshmark,$28.00 ,$5.60 ,$1.72 ,$20.68 ,$17.98 ,5/28/2022,20225,223
8,Texas Thrift Store,B0558,Express Paisley Tank S,$2.49 ,$2.70 ,10/18/2021,202110,,,,,,,,,309
8,Texas Thrift Store,B0559,Express Tie Dye High Low Tunic Tank S,$2.49 ,$2.70 ,10/18/2021,202110,,,,,,,,,309
